2024-12-11T05:49:36.087Z [debug]: WETH->DAI on Uniswap V3: 0.000273
2024-12-11T05:49:36.087Z [debug]: WETH->DAI on Uniswap V3: 3031.238636
2024-12-11T05:49:36.087Z [debug]: WETH->DAI on Uniswap V3: 0.000271
2024-12-11T05:49:36.097Z [price]: Updated 10 prices for WETH/DAI
2024-12-11T05:49:38.306Z [debug]: USDC->USDT on Uniswap V2: 0.996596
2024-12-11T05:49:38.306Z [debug]: USDC->USDT on Uniswap V2: 0.997402
2024-12-11T05:49:40.046Z [debug]: USDC->USDT on Uniswap V3: 0.999532
2024-12-11T05:49:40.046Z [debug]: USDC->USDT on Uniswap V3: 1.000267
2024-12-11T05:49:40.046Z [debug]: USDC->USDT on Uniswap V3: 0.999183
2024-12-11T05:49:40.046Z [debug]: USDC->USDT on Uniswap V3: 0.999816
2024-12-11T05:49:40.046Z [debug]: USDC->USDT on Uniswap V3: 0.996416
2024-12-11T05:49:40.046Z [debug]: USDC->USDT on Uniswap V3: 0.997582
2024-12-11T05:49:40.046Z [debug]: USDC->USDT on Uniswap V3: 0.998304
2024-12-11T05:49:40.047Z [debug]: USDC->USDT on Uniswap V3: 0.981601
2024-12-11T05:49:40.047Z [price]: Updated 10 prices for USDC/USDT
2024-12-11T05:49:41.026Z [debug]: USDC->DAI on Uniswap V2: 997569144521.894775
2024-12-11T05:49:43.055Z [info]: Starting price update service
2024-12-11T05:49:44.208Z [debug]: USDC->USDT on Uniswap V2: 0.996596
2024-12-11T05:49:44.209Z [debug]: USDC->USDT on Uniswap V2: 0.997402
2024-12-11T05:49:46.079Z [debug]: USDC->USDT on Uniswap V3: 0.999532
2024-12-11T05:49:46.079Z [debug]: USDC->USDT on Uniswap V3: 1.000267
2024-12-11T05:49:46.079Z [debug]: USDC->USDT on Uniswap V3: 0.999183
2024-12-11T05:49:46.079Z [debug]: USDC->USDT on Uniswap V3: 0.999816
2024-12-11T05:49:46.079Z [debug]: USDC->USDT on Uniswap V3: 0.996416
2024-12-11T05:49:46.080Z [debug]: USDC->USDT on Uniswap V3: 0.997582
2024-12-11T05:49:46.080Z [debug]: USDC->USDT on Uniswap V3: 0.998304
2024-12-11T05:49:46.080Z [debug]: USDC->USDT on Uniswap V3: 0.981601
2024-12-11T05:49:46.082Z [price]: Updated 10 prices for USDC/USDT
2024-12-11T05:49:48.083Z [debug]: USDC->DAI on Uniswap V2: 997569144521.894775
2024-12-11T05:49:49.993Z [debug]: USDC->DAI on Uniswap V3: 999892783592.478149
2024-12-11T05:49:49.993Z [debug]: USDC->DAI on Uniswap V3: 999627798333.739014
2024-12-11T05:49:49.993Z [debug]: USDC->DAI on Uniswap V3: 999603577988.320313
2024-12-11T05:49:49.993Z [debug]: USDC->DAI on Uniswap V3: 992547341995.037231
2024-12-11T05:49:49.994Z [price]: Updated 5 prices for USDC/DAI
2024-12-11T05:49:50.971Z [debug]: WETH->USDC on Uniswap V2: 0.000000
2024-12-11T05:49:50.971Z [debug]: WETH->USDC on Uniswap V2: 9786.984015
2024-12-11T05:49:52.905Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:49:52.906Z [debug]: WETH->USDC on Uniswap V3: 360.180513
2024-12-11T05:49:52.906Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:49:52.906Z [debug]: WETH->USDC on Uniswap V3: 9944.453325
2024-12-11T05:49:52.906Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:49:52.906Z [debug]: WETH->USDC on Uniswap V3: 2793.016575
2024-12-11T05:49:52.906Z [debug]: WETH->USDC on Uniswap V3: 0.000000
2024-12-11T05:49:52.906Z [debug]: WETH->USDC on Uniswap V3: 89.124081
2024-12-11T05:49:52.907Z [price]: Updated 10 prices for WETH/USDC
2024-12-11T05:49:53.813Z [debug]: WETH->USDT on Uniswap V2: 0.000000
2024-12-11T05:49:53.813Z [debug]: WETH->USDT on Uniswap V2: 12351.701809
2024-12-11T05:49:57.800Z [debug]: WETH->USDT on Uniswap V3: 0.000000
2024-12-11T05:49:57.801Z [debug]: WETH->USDT on Uniswap V3: 1255.450318
2024-12-11T05:49:57.801Z [debug]: WETH->USDT on Uniswap V3: 0.000000
2024-12-11T05:49:57.801Z [debug]: WETH->USDT on Uniswap V3: 3902.479171
2024-12-11T05:49:57.801Z [debug]: WETH->USDT on Uniswap V3: 0.000000
2024-12-11T05:49:57.801Z [debug]: WETH->USDT on Uniswap V3: 8904.426129
2024-12-11T05:49:57.801Z [debug]: WETH->USDT on Uniswap V3: 0.000000
2024-12-11T05:49:57.801Z [debug]: WETH->USDT on Uniswap V3: 27.386926
2024-12-11T05:49:57.801Z [price]: Updated 10 prices for WETH/USDT
2024-12-11T05:49:58.609Z [debug]: WETH->DAI on Uniswap V2: 3646.924233
2024-12-11T05:49:58.609Z [debug]: WETH->DAI on Uniswap V2: 0.000272
2024-12-11T05:50:01.616Z [debug]: WETH->DAI on Uniswap V3: 0.840975
2024-12-11T05:50:01.616Z [debug]: WETH->DAI on Uniswap V3: 0.000217
2024-12-11T05:50:01.617Z [debug]: WETH->DAI on Uniswap V3: 3648.896063
2024-12-11T05:50:01.617Z [debug]: WETH->DAI on Uniswap V3: 0.000273
2024-12-11T05:50:01.617Z [debug]: WETH->DAI on Uniswap V3: 3644.450179
2024-12-11T05:50:01.617Z [debug]: WETH->DAI on Uniswap V3: 0.000273
2024-12-11T05:50:01.617Z [debug]: WETH->DAI on Uniswap V3: 3031.238636
2024-12-11T05:50:01.617Z [debug]: WETH->DAI on Uniswap V3: 0.000271
2024-12-11T05:50:01.618Z [price]: Updated 10 prices for WETH/DAI
2024-12-11T05:50:03.654Z [debug]: USDC->USDT on Uniswap V2: 0.996596
2024-12-11T05:50:03.654Z [debug]: USDC->USDT on Uniswap V2: 0.997402
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 0.999532
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 1.000267
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 0.999183
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 0.999816
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 0.996416
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 0.997582
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 0.998304
2024-12-11T05:50:06.855Z [debug]: USDC->USDT on Uniswap V3: 0.981601
2024-12-11T05:50:06.856Z [price]: Updated 10 prices for USDC/USDT
2024-12-11T05:50:09.095Z [debug]: USDC->DAI on Uniswap V2: 997569144521.894775
2024-12-11T05:50:12.383Z [debug]: USDC->DAI on Uniswap V3: 999892783592.478149
2024-12-11T05:50:12.383Z [debug]: USDC->DAI on Uniswap V3: 999627798333.739014
